wavelength,V450_power,B500_power,G550_power,Y570_power,O600_power,R650_power
696,9.60E-03,4.71E-03,3.98E-03,4.79E-03,6.91E-03,1.04E-02
698,9.94E-03,4.08E-03,3.65E-03,4.45E-03,6.18E-03,9.17E-03
700,8.91E-03,4.08E-03,3.32E-03,4.45E-03,5.46E-03,7.51E-03
702,7.20E-03,4.08E-03,3.32E-03,4.45E-03,5.09E-03,6.67E-03
704,5.14E-03,4.40E-03,2.99E-03,4.79E-03,4.37E-03,5.42E-03
706,3.77E-03,4.71E-03,3.32E-03,5.48E-03,4.37E-03,4.59E-03
708,3.43E-03,4.71E-03,3.32E-03,6.16E-03,4.73E-03,4.17E-03
710,3.43E-03,4.71E-03,3.65E-03,6.85E-03,5.09E-03,4.17E-03
712,3.43E-03,4.40E-03,4.31E-03,7.19E-03,5.46E-03,4.17E-03
714,3.43E-03,4.08E-03,4.64E-03,7.19E-03,5.09E-03,4.17E-03
716,4.11E-03,3.77E-03,4.98E-03,6.85E-03,4.73E-03,4.17E-03
718,4.80E-03,3.46E-03,5.31E-03,6.85E-03,4.37E-03,4.17E-03
720,5.83E-03,3.14E-03,5.31E-03,7.19E-03,4.37E-03,4.17E-03
722,6.86E-03,2.83E-03,5.64E-03,7.19E-03,4.37E-03,3.75E-03
724,7.54E-03,2.51E-03,5.97E-03,7.53E-03,4.37E-03,3.75E-03
726,8.57E-03,2.20E-03,6.63E-03,7.53E-03,4.37E-03,4.17E-03
728,8.57E-03,2.20E-03,7.30E-03,7.19E-03,4.00E-03,4.17E-03
730,8.23E-03,2.20E-03,7.30E-03,6.51E-03,4.00E-03,4.59E-03
732,7.54E-03,2.20E-03,6.63E-03,5.82E-03,4.00E-03,5.00E-03
734,7.20E-03,2.51E-03,5.97E-03,5.14E-03,4.37E-03,5.00E-03
736,6.17E-03,2.51E-03,4.98E-03,4.79E-03,4.73E-03,4.59E-03
738,5.49E-03,2.51E-03,4.31E-03,4.79E-03,5.46E-03,4.17E-03
740,4.80E-03,2.51E-03,4.31E-03,4.45E-03,5.82E-03,4.17E-03
742,4.46E-03,2.83E-03,4.64E-03,4.79E-03,6.55E-03,3.75E-03
744,4.80E-03,2.83E-03,4.98E-03,4.79E-03,6.55E-03,4.17E-03
746,5.14E-03,3.14E-03,5.31E-03,4.45E-03,6.91E-03,4.17E-03
748,5.49E-03,3.46E-03,5.64E-03,4.11E-03,6.91E-03,4.17E-03
750,5.83E-03,3.77E-03,5.97E-03,4.11E-03,7.64E-03,4.17E-03
752,5.83E-03,4.40E-03,6.30E-03,3.77E-03,8.37E-03,3.75E-03
754,5.49E-03,4.71E-03,6.30E-03,3.77E-03,8.73E-03,3.75E-03
756,5.14E-03,4.71E-03,6.63E-03,3.77E-03,9.09E-03,3.75E-03
758,5.49E-03,5.03E-03,6.97E-03,4.11E-03,9.09E-03,3.75E-03
760,6.17E-03,5.03E-03,7.96E-03,4.79E-03,9.09E-03,3.75E-03
762,7.89E-03,5.34E-03,8.62E-03,5.82E-03,8.73E-03,4.59E-03
764,9.26E-03,5.34E-03,9.29E-03,6.16E-03,8.73E-03,5.42E-03
766,9.94E-03,5.65E-03,8.62E-03,6.16E-03,8.37E-03,5.42E-03
768,9.26E-03,5.03E-03,7.30E-03,5.14E-03,7.64E-03,5.42E-03
770,8.57E-03,4.71E-03,5.64E-03,4.11E-03,6.91E-03,5.00E-03
772,7.89E-03,4.40E-03,4.64E-03,3.77E-03,6.55E-03,4.59E-03
774,7.89E-03,4.08E-03,3.98E-03,3.42E-03,6.18E-03,4.59E-03
776,7.89E-03,3.77E-03,3.32E-03,3.77E-03,5.82E-03,4.17E-03
778,7.54E-03,3.46E-03,2.99E-03,3.77E-03,5.09E-03,3.75E-03
780,6.51E-03,3.14E-03,2.65E-03,4.11E-03,4.37E-03,3.75E-03
782,5.49E-03,2.83E-03,2.65E-03,4.11E-03,3.64E-03,3.75E-03
784,4.46E-03,2.83E-03,2.99E-03,4.45E-03,2.91E-03,3.75E-03
786,3.77E-03,2.83E-03,3.32E-03,4.45E-03,2.55E-03,3.75E-03
788,3.77E-03,2.83E-03,3.98E-03,4.79E-03,2.91E-03,3.34E-03
790,4.11E-03,3.14E-03,4.64E-03,4.79E-03,2.91E-03,3.34E-03
792,4.11E-03,3.14E-03,4.98E-03,5.14E-03,3.27E-03,2.92E-03
794,4.11E-03,3.14E-03,4.98E-03,5.14E-03,3.64E-03,2.92E-03
796,3.77E-03,3.14E-03,4.64E-03,5.14E-03,4.00E-03,2.92E-03
798,3.43E-03,3.14E-03,3.98E-03,5.14E-03,4.37E-03,2.92E-03
800,3.43E-03,3.14E-03,3.65E-03,5.14E-03,4.37E-03,2.92E-03
802,3.09E-03,3.14E-03,3.32E-03,4.79E-03,4.00E-03,3.34E-03
804,3.09E-03,3.46E-03,3.32E-03,4.79E-03,4.00E-03,3.34E-03
806,3.43E-03,3.77E-03,3.32E-03,4.45E-03,3.64E-03,3.75E-03
808,3.43E-03,4.08E-03,3.65E-03,4.11E-03,4.00E-03,3.75E-03
810,3.77E-03,4.71E-03,3.65E-03,3.77E-03,4.37E-03,3.75E-03
812,3.77E-03,5.65E-03,3.65E-03,3.77E-03,5.46E-03,3.75E-03
814,3.77E-03,6.91E-03,3.65E-03,3.77E-03,6.55E-03,3.75E-03
816,4.11E-03,8.48E-03,4.31E-03,4.11E-03,8.73E-03,3.75E-03
818,6.17E-03,1.13E-02,6.63E-03,6.16E-03,1.42E-02,5.00E-03
820,1.06E-02,1.60E-02,1.16E-02,1.10E-02,2.26E-02,7.51E-03
822,1.68E-02,2.10E-02,1.82E-02,1.78E-02,3.13E-02,1.13E-02
824,2.19E-02,2.39E-02,2.39E-02,2.33E-02,3.49E-02,1.38E-02
826,2.30E-02,2.29E-02,2.59E-02,2.53E-02,3.17E-02,1.42E-02
828,2.19E-02,2.04E-02,2.52E-02,2.50E-02,2.55E-02,1.33E-02
830,1.78E-02,1.60E-02,2.22E-02,2.33E-02,1.78E-02,1.17E-02
832,1.44E-02,1.35E-02,1.92E-02,2.19E-02,1.27E-02,1.04E-02
834,1.13E-02,1.16E-02,1.69E-02,2.12E-02,1.06E-02,1.00E-02
836,9.26E-03,1.01E-02,1.39E-02,1.92E-02,9.09E-03,9.17E-03
838,7.89E-03,8.48E-03,1.13E-02,1.58E-02,8.00E-03,8.34E-03
840,6.51E-03,6.91E-03,8.29E-03,1.20E-02,6.55E-03,6.67E-03
842,5.49E-03,5.34E-03,6.30E-03,8.56E-03,5.46E-03,5.42E-03
844,4.46E-03,4.40E-03,4.98E-03,6.16E-03,4.37E-03,4.17E-03
846,3.43E-03,3.77E-03,4.31E-03,4.79E-03,3.64E-03,3.34E-03
848,2.74E-03,3.46E-03,3.32E-03,3.77E-03,2.55E-03,2.50E-03
850,2.06E-03,3.46E-03,2.99E-03,3.08E-03,2.18E-03,2.50E-03
852,2.06E-03,3.46E-03,2.65E-03,2.40E-03,1.82E-03,2.09E-03
854,1.71E-03,3.77E-03,2.32E-03,2.05E-03,1.82E-03,2.09E-03
856,1.71E-03,4.08E-03,1.99E-03,1.71E-03,1.82E-03,2.09E-03
858,2.06E-03,4.40E-03,1.99E-03,1.71E-03,2.18E-03,1.67E-03
860,2.40E-03,4.71E-03,1.99E-03,1.37E-03,2.55E-03,1.67E-03
862,2.74E-03,4.71E-03,1.99E-03,1.71E-03,2.91E-03,1.67E-03
864,3.09E-03,5.03E-03,2.32E-03,1.71E-03,4.00E-03,1.67E-03
