Lambda,nir610_power,nir680_power,nir730_power,nir760_power,nir810_power,nir860_power
496,0.0001887488741,0.0001598332773,0.0001904129263,0.0001769624373,0.0001517393142,0.00007067881324
497,0.000191286119,0.000152923263,0.0001915925667,0.0001767844484,0.0001596824075,0.0000706285624
498,0.000193823364,0.0001460132486,0.0001927722072,0.0001766064596,0.0001676255007,0.00007057831156
499,0.0001965238566,0.0001479264261,0.0001953703262,0.0001779830705,0.0001676621673,0.00007051776549
500,0.0001992243493,0.0001498396035,0.0001979684452,0.0001793596813,0.0001676988338,0.00007045721942
501,0.0002009828199,0.0001433715998,0.0002007461197,0.0001819823871,0.0001678995341,0.00007100496735
502,0.0002027412905,0.0001369035962,0.0002035237943,0.000184605093,0.0001681002344,0.00007155271528
503,0.0002137579013,0.0001466378676,0.0002052691665,0.0001871796169,0.0001696467244,0.00007261959508
504,0.0002247745121,0.0001563721391,0.0002070145387,0.0001897541409,0.0001711932144,0.00007368647488
505,0.0002352830489,0.0001656165006,0.0002077748972,0.0001911606423,0.000173559733,0.00007470420654
506,0.0002457915857,0.0001748608621,0.0002085352557,0.0001925671438,0.0001759262517,0.00007572193819
507,0.0002464745114,0.0001752997254,0.0002182287763,0.0001931280667,0.0001780857165,0.00007628954697
508,0.0002471574372,0.0001757385888,0.0002279222969,0.0001936889895,0.0001802451813,0.00007685715575
509,0.0002702649393,0.0001762390337,0.0002285625445,0.0002022584459,0.0001894270375,0.00008650158036
510,0.0002933724415,0.0001767394787,0.0002292027921,0.0002108279023,0.0001986088938,0.00009614600498
511,0.0003044795658,0.0001865856777,0.0002400805144,0.0002201226264,0.0001991986163,0.0001162867259
512,0.0003155866902,0.0001964318766,0.0002509582367,0.0002294173504,0.0001997883389,0.0001364274469
513,0.0003165378931,0.0001970787669,0.0002623829021,0.000238700306,0.0002002681715,0.0001368264321
514,0.0003174890961,0.0001977256572,0.0002738075675,0.0002479832615,0.0002007480042,0.0001372254172
515,0.000339508934,0.0001983299855,0.0002746393095,0.0002488900333,0.0002013327395,0.0001491643656
516,0.000361528772,0.0001989343138,0.0002754710515,0.000249796805,0.0002019174749,0.000161103314
517,0.0003833041486,0.0002179592229,0.0002856188645,0.0002504847673,0.0002199394556,0.0001712693842
518,0.0004050795253,0.0002369841321,0.0002957666774,0.0002511727296,0.0002379614364,0.0001814354544
519,0.0004186847842,0.0002377462074,0.0003070976147,0.0002773008508,0.0002388230943,0.0001819561252
520,0.0004322900432,0.0002385082826,0.000318428552,0.0003034289719,0.0002396847523,0.000182476796
521,0.0004239115774,0.0002662814513,0.000329459157,0.0003309933833,0.0002563768645,0.0002151740263
522,0.0004155331117,0.00029405462,0.0003404897619,0.0003585577948,0.0002730689767,0.0002478712565
523,0.0004166888966,0.0002857514997,0.0003434298961,0.0003514782801,0.0002824148177,0.0002711641309
524,0.0004178446816,0.0002774483795,0.0003463700303,0.0003443987654,0.0002917606587,0.0002944570052
525,0.0004289488699,0.0002782212118,0.0003665368276,0.0003375226156,0.0003288341929,0.0002955351412
526,0.0004400530582,0.0002789940441,0.000386703625,0.0003306464657,0.0003659077271,0.0002966132772
527,0.0004644218939,0.0002891171739,0.000397057177,0.0003314527068,0.0003590240341,0.000297021723
528,0.0004887907296,0.0002992403038,0.0004074107289,0.0003322589478,0.000352140341,0.0002974301688
